phone_number,email,credit_score,age_group,family_background,income,education_level,employment_type,website_engagement_score,last_contact_date,intent_score,intent_binary
001-795-931-1543x9781,jordanmiller@example.com,698,56+,Married with Kids,64439,Bachelor's,Full-time,58,2025-04-28,93,1
806-760-8623,robertsbenjamin@example.org,644,18-25,Widowed,54886,PhD,Full-time,25,2025-03-28,48,0
+1-822-347-8922x5182,matthewmoses@example.org,711,36-45,Divorced,62685,Master's,Full-time,49,2025-01-25,76,1
340.215.7997x06298,lday@example.com,664,36-45,Married,69487,Bachelor's,Full-time,67,2025-04-19,79,1
(950)583-6816x82140,dduke@example.net,698,36-45,Divorced,89542,Master's,Full-time,31,2025-05-17,100,1
214.739.0390x920,ythompson@example.org,559,26-35,Married with Kids,41695,High School,Full-time,57,2025-04-10,64,1
+1-424-374-8579x8889,garyperez@example.org,617,18-25,Single,16268,High School,Full-time,36,2025-06-23,46,0
(729)632-2972,rodriguezbrittany@example.net,609,18-25,Married,16654,Professional,Full-time,49,2025-02-27,55,0
+1-947-254-3188x64594,alvarezcrystal@example.net,758,56+,Married with Kids,43402,Bachelor's,Full-time,45,2025-02-14,85,1
263-666-9837x555,amy87@example.com,676,56+,Married,41917,High School,Full-time,51,2025-01-20,87,1
001-577-709-9031x7211,campbelljason@example.org,698,36-45,Married,59498,Master's,Full-time,75,2025-06-08,100,1
(369)564-0101x460,marksmith@example.com,739,56+,Married,15000,High School,Student,24,2025-02-12,61,1
(860)893-1642,jerrygray@example.com,653,36-45,Divorced,36926,High School,Full-time,47,2025-01-23,83,1
+1-323-610-1717,steven40@example.com,665,36-45,Married with Kids,35123,High School,Full-time,49,2025-05-31,92,1
+1-595-708-1900x567,leahcuevas@example.com,636,36-45,Married with Kids,50426,Master's,Full-time,52,2025-05-01,100,1
276-435-2413,lindakaufman@example.com,624,26-35,Married,24039,Bachelor's,Self-employed,72,2025-04-10,90,1
406-565-6024,nicole77@example.com,701,36-45,Married with Kids,22568,High School,Full-time,71,2025-01-28,100,1
990-757-1753x2279,phillipmartinez@example.net,669,18-25,Married with Kids,40450,Bachelor's,Full-time,56,2025-04-07,82,1
398.691.6831x71511,jenniferwilson@example.com,668,36-45,Widowed,35973,Bachelor's,Full-time,74,2025-05-20,90,1
245.846.7313x71741,tharper@example.com,720,36-45,Single,78739,Bachelor's,Full-time,97,2025-05-11,100,1
+1-957-803-4011,murraypaul@example.org,729,56+,Married with Kids,48710,High School,Full-time,41,2025-05-11,85,1
3119273831,anthonysanchez@example.com,764,56+,Single,131739,Professional,Self-employed,18,2025-04-08,82,1
(256)940-0191x5426,melissajones@example.com,642,56+,Married,17280,Master's,Part-time,61,2025-06-19,47,0
642.841.1475,wthomas@example.net,759,36-45,Single,65195,Master's,Full-time,54,2025-02-09,97,1
606.842.1168,walkerlindsay@example.net,694,46-55,Married,44792,High School,Self-employed,30,2025-06-08,89,1
459-323-4665,qmitchell@example.com,616,18-25,Divorced,35491,Bachelor's,Full-time,19,2025-02-16,47,0
716.649.5060,davisnicole@example.com,740,36-45,Single,74644,Master's,Self-employed,51,2025-07-09,100,1
+1-813-746-3107x8907,dadkins@example.org,708,36-45,Married with Kids,89148,Bachelor's,Self-employed,56,2025-04-24,100,1
001-683-504-1544x74733,valerie97@example.org,653,56+,Married with Kids,37502,Master's,Retired,54,2025-04-01,58,0
+1-770-216-8525x317,tonya93@example.com,742,46-55,Widowed,90187,Bachelor's,Self-employed,48,2025-01-17,70,1
001-418-259-6897x4095,jennifer50@example.net,642,56+,Widowed,15000,Master's,Unemployed,24,2025-03-18,0,0
001-828-218-4726,vshah@example.net,692,36-45,Married with Kids,15000,Bachelor's,Student,91,2025-05-03,91,1
(241)861-1954,jodihunt@example.net,644,46-55,Married,64815,Bachelor's,Full-time,61,2025-01-18,91,1
+1-906-783-1121,nataliehernandez@example.org,735,46-55,Married,130565,Master's,Full-time,48,2025-02-20,100,1
525-767-7250,lmartinez@example.net,688,36-45,Divorced,61078,Bachelor's,Self-employed,65,2025-04-06,84,1
441-534-2773,debra37@example.com,784,46-55,Married,94801,Professional,Full-time,76,2025-02-15,100,1
542-909-4207,daniel87@example.org,624,26-35,Single,46692,Bachelor's,Full-time,51,2025-05-05,67,1
+1-742-750-5925x309,zsnyder@example.net,747,36-45,Single,74878,Bachelor's,Full-time,41,2025-05-03,100,1
(842)373-7957x2381,brandymiller@example.com,722,46-55,Single,39925,High School,Full-time,42,2025-02-01,66,1
+1-813-630-1075x35024,jennifer12@example.org,601,36-45,Single,18722,Bachelor's,Student,16,2025-02-08,32,0
001-622-532-0873x8570,wrightalexander@example.net,673,26-35,Married with Kids,66617,Master's,Full-time,76,2025-07-08,100,1
+1-378-837-9213,donaldbanks@example.net,559,26-35,Single,40266,PhD,Full-time,43,2025-01-15,62,1
+1-637-515-1931x784,gonzalezdana@example.net,640,56+,Married with Kids,59807,Bachelor's,Full-time,57,2025-04-02,85,1
001-438-611-3370x4946,lawrence07@example.com,652,36-45,Married,37069,Bachelor's,Self-employed,69,2025-06-21,100,1
5056355882,estradakimberly@example.org,672,36-45,Married with Kids,87156,Master's,Full-time,71,2025-05-14,100,1
(993)985-0284,suzannerobertson@example.net,600,18-25,Married,46356,Master's,Full-time,65,2025-03-18,56,0
815.864.1533x070,fbecker@example.org,704,56+,Widowed,72020,PhD,Full-time,0,2025-05-10,50,0
+1-563-231-1916x11955,tracybarber@example.org,654,46-55,Single,41958,Bachelor's,Full-time,21,2025-03-01,56,0
9375791703,perrylisa@example.net,674,36-45,Divorced,65728,Bachelor's,Full-time,49,2025-02-07,96,1
3048582072,mariacole@example.net,700,26-35,Married with Kids,83362,Master's,Full-time,83,2025-03-08,100,1
268-747-3255x0652,patrickherman@example.com,650,36-45,Married with Kids,115740,Bachelor's,Full-time,67,2025-05-06,100,1
220-572-0957,heather50@example.net,700,26-35,Married,53337,Bachelor's,Full-time,59,2025-01-31,96,1
+1-668-644-5657x817,arthuredwards@example.org,687,56+,Single,109592,Professional,Full-time,35,2025-06-29,84,1
+1-851-955-6740x9201,carolyn93@example.org,645,36-45,Married,28199,PhD,Part-time,53,2025-06-29,62,1
2138414058,esmith@example.com,668,26-35,Married with Kids,17747,High School,Full-time,57,2025-06-04,100,1
265-648-4000x040,wscott@example.com,626,26-35,Single,18321,Bachelor's,Full-time,56,2025-05-06,60,1
(483)648-7525x6048,ucoleman@example.com,639,56+,Divorced,17567,High School,Part-time,32,2025-03-30,34,0
338-407-9511,sparkspatrick@example.org,651,26-35,Married with Kids,46682,PhD,Full-time,37,2025-05-16,85,1
(708)215-9590x431,eparrish@example.com,652,26-35,Divorced,15000,High School,Part-time,41,2025-03-01,75,1
+1-964-877-6310x3231,xbrown@example.com,722,56+,Married with Kids,89198,Master's,Full-time,78,2025-07-06,100,1
668-744-4696,johnparker@example.net,590,18-25,Single,42087,Master's,Full-time,34,2025-04-21,41,0
(981)413-7244,ugoodman@example.net,684,26-35,Single,77568,Master's,Full-time,44,2025-01-30,86,1
648-894-0094x658,nicolepope@example.org,701,56+,Married,15000,Master's,Student,32,2025-05-09,61,1
988-578-0737x6764,uschmidt@example.org,718,36-45,Married,99823,PhD,Full-time,83,2025-03-04,100,1
(451)991-8716,scott76@example.com,678,56+,Married,28335,High School,Self-employed,57,2025-05-18,87,1
(709)519-1935x2642,westmichelle@example.com,662,26-35,Married with Kids,82372,Bachelor's,Self-employed,51,2025-06-15,100,1
7858675910,lauragross@example.net,669,46-55,Single,71272,Professional,Part-time,30,2025-05-14,53,0
(270)444-7771x40577,wendy01@example.com,709,56+,Single,42841,Master's,Full-time,35,2025-03-21,55,0
849-540-9985x7525,rgreen@example.net,744,26-35,Married with Kids,45635,Bachelor's,Full-time,59,2025-04-22,100,1
(755)276-6335x420,stephanie07@example.org,607,36-45,Married with Kids,33726,Professional,Retired,95,2025-04-08,88,1
001-672-482-7695x8870,bmontoya@example.org,613,26-35,Single,40461,High School,Full-time,42,2025-03-28,65,1
(798)202-7644x82943,hornecarrie@example.com,740,36-45,Single,136383,Professional,Full-time,61,2025-06-07,100,1
(353)377-7842x47164,rlee@example.com,762,46-55,Married,94140,Master's,Full-time,71,2025-04-28,100,1
8723592501,ronald78@example.org,608,56+,Married with Kids,15000,High School,Full-time,35,2025-04-10,64,1
423.507.0081x33490,levans@example.com,722,46-55,Single,112071,Professional,Full-time,21,2025-04-27,80,1
001-324-394-1801x695,ashleyturner@example.com,710,36-45,Married,91705,PhD,Full-time,51,2025-01-21,100,1
818-728-7914,cody12@example.org,622,26-35,Single,59401,Master's,Full-time,52,2025-06-08,84,1
690.459.6669,audreyho@example.org,793,56+,Single,37961,Professional,Part-time,19,2025-04-24,48,0
575.942.8846,oallen@example.net,592,18-25,Single,15000,Master's,Part-time,52,2025-05-07,54,0
403-702-7721x79316,rushmark@example.org,577,18-25,Single,15000,High School,Unemployed,14,2025-02-11,21,0
999.924.4837x268,jessicahobbs@example.net,628,26-35,Married with Kids,78512,PhD,Full-time,65,2025-04-26,92,1
991-828-6728x774,williamsandrew@example.com,651,26-35,Divorced,62358,Master's,Full-time,52,2025-05-20,91,1
(796)996-5241,charlespalmer@example.org,654,36-45,Married with Kids,106793,Master's,Full-time,97,2025-01-17,100,1
6415071912,stephenmcneil@example.org,634,56+,Married with Kids,57652,Master's,Full-time,30,2025-03-31,84,1
581.749.6355x019,ravenstanley@example.org,790,46-55,Married,123467,Master's,Full-time,56,2025-06-21,100,1
001-358-945-6731x3700,ashley17@example.com,748,46-55,Divorced,101369,Master's,Full-time,65,2025-03-29,93,1
5735021737,qshepherd@example.org,686,56+,Widowed,57549,Professional,Full-time,37,2025-01-29,57,0
4144926218,alexis06@example.org,617,26-35,Married with Kids,58220,Master's,Self-employed,33,2025-02-20,91,1
(254)696-6025x1435,jmiller@example.net,647,56+,Married with Kids,15000,Bachelor's,Unemployed,55,2025-06-16,44,0
7458015311,rivasedward@example.com,687,36-45,Single,56718,Bachelor's,Full-time,69,2025-05-02,100,1
647.779.6605,ehernandez@example.com,724,46-55,Married with Kids,51203,High School,Full-time,66,2025-01-15,100,1
322-946-4069x486,melissa18@example.org,672,26-35,Married with Kids,60890,PhD,Full-time,82,2025-04-13,100,1
911.748.8160x5801,renee08@example.org,776,46-55,Divorced,74170,Professional,Full-time,16,2025-03-27,60,1
001-686-450-4441x4429,osnyder@example.org,687,46-55,Married,36851,Master's,Part-time,21,2025-04-19,38,0
8504151378,nhicks@example.com,719,46-55,Married,61954,PhD,Part-time,43,2025-01-21,69,1
(241)969-8142,fkeller@example.com,585,26-35,Widowed,15000,Bachelor's,Part-time,68,2025-05-11,35,0
9684143659,caitlinsantos@example.com,685,36-45,Married,74561,Bachelor's,Self-employed,93,2025-03-25,100,1
001-210-354-1715x0076,hbailey@example.net,634,26-35,Married,19905,High School,Retired,42,2025-05-27,57,0
7077784284,hkim@example.net,780,36-45,Single,131519,PhD,Self-employed,73,2025-04-01,100,1
670.366.7219x2283,jamie92@example.org,684,36-45,Widowed,28096,Master's,Retired,77,2025-03-20,68,1
325.497.8336x740,reedbrandy@example.com,731,46-55,Single,44512,Bachelor's,Full-time,37,2025-06-08,64,1
001-476-298-8012x256,robertpaul@example.net,679,26-35,Single,18385,High School,Full-time,44,2025-04-21,74,1
(557)901-6206,pereznathan@example.com,605,56+,Married with Kids,15000,Professional,Student,36,2025-05-05,54,0
+1-815-716-7616x629,vbradshaw@example.org,718,26-35,Single,34807,Bachelor's,Full-time,49,2025-03-24,67,1
2254368732,markhill@example.org,645,36-45,Divorced,62600,Master's,Full-time,48,2025-06-07,74,1
5699409787,montoyaamanda@example.org,696,56+,Married,22835,Master's,Part-time,52,2025-05-08,63,1
510-200-6658x4843,hillbryan@example.net,606,26-35,Married,99411,Professional,Self-employed,70,2025-06-09,75,1
+1-260-689-7064x9375,taylor90@example.net,683,26-35,Single,58534,Master's,Self-employed,63,2025-06-12,92,1
883-604-7027x89027,daniel30@example.net,689,36-45,Single,46624,High School,Full-time,56,2025-07-02,84,1
6509198575,rebeccaromero@example.org,576,18-25,Divorced,15000,Bachelor's,Student,21,2025-04-21,24,0
(774)206-2828,umartin@example.org,618,36-45,Married,45295,High School,Full-time,52,2025-02-16,72,1
(628)951-5501x352,davissamuel@example.net,614,18-25,Married,15000,Bachelor's,Full-time,57,2025-04-09,62,1
001-350-651-3918x41805,martineztammy@example.org,634,26-35,Single,28665,Bachelor's,Full-time,27,2025-04-12,56,0
+1-804-451-5699x3327,lhoffman@example.com,714,46-55,Single,55732,Bachelor's,Full-time,46,2025-04-04,94,1
779.830.9252x39060,robertwilliams@example.org,638,36-45,Married,45440,PhD,Full-time,66,2025-02-09,85,1
737-339-4912,patriciaprice@example.com,707,46-55,Married with Kids,49350,Professional,Part-time,45,2025-06-19,90,1
(343)765-3145x94568,websterbrandy@example.org,549,18-25,Single,15000,Bachelor's,Full-time,26,2025-06-27,34,0
(431)587-9897x6330,campbelllisa@example.org,735,56+,Divorced,61885,Bachelor's,Full-time,19,2025-02-26,62,1
788.231.9602,tylergreen@example.org,655,26-35,Single,50864,Bachelor's,Full-time,57,2025-06-03,89,1
986.466.8470,kwilliams@example.com,706,46-55,Married with Kids,65141,Bachelor's,Full-time,34,2025-03-11,100,1
001-289-466-3680x5373,jamesdickerson@example.net,626,18-25,Married with Kids,15000,Bachelor's,Part-time,17,2025-04-06,50,0
999-782-4770,millssandra@example.org,610,26-35,Married with Kids,44180,Bachelor's,Full-time,96,2025-02-01,99,1
001-386-836-7828,ysmith@example.com,627,36-45,Single,15000,Bachelor's,Unemployed,72,2025-06-16,57,0
781.227.9042x52846,egardner@example.net,633,26-35,Divorced,87572,Master's,Self-employed,52,2025-04-04,100,1
(224)519-9797,williamsbryan@example.org,643,26-35,Married with Kids,15000,High School,Part-time,82,2025-03-02,94,1
001-509-585-4487x8904,robert58@example.com,628,56+,Single,92231,Master's,Full-time,51,2025-06-28,49,0
826.602.1318x066,floresdanielle@example.net,617,26-35,Married with Kids,64891,Master's,Full-time,46,2025-04-09,96,1
+1-943-308-7803x78253,robertmcdowell@example.net,702,26-35,Married,35530,High School,Full-time,62,2025-04-18,89,1
9415557813,campbellgary@example.org,726,36-45,Married with Kids,39196,Master's,Part-time,69,2025-06-14,94,1
+1-456-924-7994x43317,jenniferwilliams@example.net,701,46-55,Widowed,48470,Master's,Part-time,19,2025-06-18,47,0
266.320.8407x8464,scott46@example.com,742,46-55,Married with Kids,55270,Master's,Full-time,33,2025-02-08,100,1
+1-697-785-6525x542,lmorales@example.net,654,46-55,Single,21492,High School,Part-time,40,2025-02-15,51,0
+1-307-722-6794x060,damon82@example.com,599,26-35,Divorced,28295,Master's,Full-time,43,2025-05-23,71,1
586.888.3392,ericlucas@example.com,670,46-55,Married with Kids,33512,Professional,Student,42,2025-03-31,68,1
262.696.6103x56574,tracyhowe@example.net,725,26-35,Married,31177,High School,Full-time,57,2025-03-09,89,1
001-892-862-7350x60012,melissa09@example.com,658,56+,Divorced,15000,Master's,Unemployed,26,2025-01-27,23,0
+1-709-610-0916x659,sherri30@example.org,622,26-35,Married with Kids,23198,Bachelor's,Part-time,46,2025-01-31,84,1
946.527.4205x22589,portersusan@example.org,690,26-35,Married with Kids,27171,Bachelor's,Full-time,61,2025-02-02,84,1
(356)591-0708x6117,aaron25@example.org,638,26-35,Single,33190,High School,Full-time,70,2025-07-04,75,1
(842)727-6434x94652,booneteresa@example.com,542,18-25,Single,15000,Master's,Part-time,48,2025-04-13,25,0
941.716.0285x9538,carol87@example.com,628,18-25,Married with Kids,19069,Master's,Retired,59,2025-04-25,65,1
001-820-641-5528x2301,andrewhopkins@example.net,722,46-55,Married with Kids,109142,PhD,Full-time,73,2025-07-06,100,1
(497)674-4433,erin86@example.com,583,18-25,Married with Kids,16846,High School,Full-time,32,2025-05-18,62,1
001-540-647-7246x4972,hartalejandro@example.com,691,36-45,Single,52061,Bachelor's,Full-time,56,2025-05-07,89,1
+1-510-309-9784x42982,ifields@example.org,689,36-45,Divorced,122697,Professional,Full-time,52,2025-02-06,98,1
(665)385-9702,petersonmichael@example.net,697,46-55,Married,16069,High School,Part-time,31,2025-04-27,57,0
358-443-4565,justinellison@example.com,598,26-35,Married with Kids,18251,Master's,Part-time,60,2025-01-24,62,1
508.706.3139x594,yfernandez@example.net,628,18-25,Married with Kids,48564,Master's,Full-time,15,2025-06-27,63,1
690-473-1282x11126,stantonwilliam@example.com,694,36-45,Married,15000,Bachelor's,Student,90,2025-03-01,89,1
001-278-789-3770x70507,littlesarah@example.com,593,18-25,Married,39774,PhD,Full-time,87,2025-05-14,66,1
(976)424-3265,rosariotyler@example.net,640,26-35,Married with Kids,24817,High School,Full-time,49,2025-01-23,100,1
001-470-578-9379x8775,mhouston@example.com,646,26-35,Married with Kids,31982,Bachelor's,Part-time,73,2025-04-25,100,1
584-754-4198,kdudley@example.org,697,36-45,Married with Kids,72493,Professional,Full-time,48,2025-04-18,96,1
(929)601-6515x9952,iphelps@example.net,729,46-55,Married,116274,Master's,Full-time,81,2025-07-11,100,1
555-333-3179,danielleroth@example.com,705,36-45,Married,63145,Master's,Full-time,89,2025-06-24,100,1
396-217-6502,hartmangeorge@example.net,701,46-55,Married with Kids,83145,Master's,Full-time,86,2025-03-31,100,1
+1-299-858-7005x12538,codygraves@example.com,691,46-55,Married with Kids,77298,Master's,Full-time,50,2025-06-25,100,1
469.832.8792x7462,fstewart@example.org,677,36-45,Divorced,71560,Master's,Full-time,50,2025-05-28,99,1
(524)338-7207x579,michelle44@example.net,573,26-35,Married with Kids,15000,Bachelor's,Unemployed,79,2025-05-03,63,1
699-564-5962,adam92@example.com,695,56+,Married with Kids,35732,High School,Full-time,41,2025-04-04,97,1
+1-415-773-6850x70518,lucasdavid@example.org,713,36-45,Married,15000,Master's,Self-employed,49,2025-07-01,89,1
386-672-0759,maria56@example.com,691,56+,Married,32363,Master's,Part-time,51,2025-07-04,49,0
296-667-6015,josephsmith@example.org,757,46-55,Single,92347,Master's,Self-employed,22,2025-01-14,97,1
(865)857-6475,julie32@example.net,691,46-55,Married,62409,Bachelor's,Full-time,47,2025-05-09,82,1
541.205.0685x9023,patricia62@example.org,713,46-55,Single,38694,High School,Full-time,16,2025-03-10,52,0
406.216.5373x0534,efletcher@example.net,640,26-35,Single,15000,Bachelor's,Part-time,44,2025-06-23,75,1
(829)330-9615x07106,omunoz@example.com,672,56+,Single,27819,Master's,Part-time,60,2025-06-15,52,0
805.590.4117x977,wheelertiffany@example.com,592,18-25,Single,15000,Bachelor's,Full-time,26,2025-04-03,50,0
001-396-408-7496,cassieconrad@example.org,591,18-25,Married with Kids,28775,Bachelor's,Full-time,36,2025-01-17,54,0
+1-978-784-7798x88243,vandersen@example.com,591,18-25,Single,15000,Bachelor's,Full-time,20,2025-04-20,36,0
(927)748-2300x97154,allen33@example.com,750,36-45,Married with Kids,51131,Bachelor's,Self-employed,72,2025-04-05,100,1
(211)456-7814,staceygoodwin@example.com,722,46-55,Divorced,45023,High School,Full-time,28,2025-03-10,77,1
+1-313-771-6509x423,efowler@example.net,566,18-25,Divorced,33452,Bachelor's,Full-time,10,2025-01-29,26,0
819.215.1813,hillscott@example.org,713,46-55,Single,64480,High School,Full-time,19,2025-03-09,70,1
001-644-494-0581x5193,fcastro@example.net,649,36-45,Married with Kids,49471,High School,Full-time,80,2025-05-06,100,1
892-268-9009,hserrano@example.org,697,26-35,Married,75791,Professional,Full-time,73,2025-06-23,96,1
441-266-6117x7294,eoneal@example.org,725,56+,Married,101205,PhD,Full-time,54,2025-04-24,99,1
9589582404,jacqueline24@example.org,662,36-45,Single,55201,Bachelor's,Full-time,37,2025-01-20,100,1
7318518617,kerriparks@example.net,667,56+,Single,20550,Bachelor's,Part-time,46,2025-03-09,61,1
364.219.4958x325,smithmichelle@example.com,666,36-45,Single,88301,Master's,Full-time,56,2025-02-24,93,1
492-827-7708x594,jimmyhopkins@example.com,707,46-55,Married with Kids,134835,Master's,Full-time,56,2025-05-27,100,1
734-748-2138x011,rsullivan@example.org,822,56+,Widowed,74658,Bachelor's,Self-employed,31,2025-05-14,62,1
(213)598-5532x375,dallen@example.com,658,56+,Married with Kids,40539,Master's,Full-time,56,2025-06-24,69,1
823-724-3421x39579,amartin@example.com,702,26-35,Married with Kids,48872,Bachelor's,Full-time,65,2025-02-18,100,1
250.606.4558,christiecarter@example.com,544,18-25,Widowed,15000,High School,Part-time,31,2025-06-17,13,0
+1-428-562-5587,bjohnson@example.org,672,36-45,Single,40428,Master's,Full-time,38,2025-05-07,85,1
(487)836-0805x582,katelyngiles@example.net,630,46-55,Married with Kids,49227,Master's,Full-time,25,2025-01-28,77,1
(675)901-1532x70341,wbuckley@example.com,678,36-45,Married,38136,Bachelor's,Self-employed,81,2025-06-16,100,1
+1-986-237-1379,hensleyhannah@example.com,674,26-35,Married with Kids,47731,High School,Full-time,100,2025-02-27,100,1
(889)781-2239,xwatts@example.org,696,36-45,Single,74687,Bachelor's,Self-employed,50,2025-05-30,88,1
564.645.1256x2220,rguerra@example.com,585,18-25,Single,68768,PhD,Full-time,24,2025-06-06,28,0
(399)861-3807,moonryan@example.net,660,18-25,Married with Kids,61743,Professional,Self-employed,7,2025-06-06,87,1
599.445.1068,chadthomas@example.net,730,46-55,Single,15000,High School,Student,43,2025-04-16,53,0
001-560-242-7857x1036,nicholas56@example.org,705,26-35,Married with Kids,45026,Master's,Full-time,60,2025-03-11,100,1
4962941235,hfarmer@example.org,699,36-45,Married with Kids,115684,PhD,Full-time,67,2025-01-30,100,1
5718492360,romeromatthew@example.net,686,36-45,Married with Kids,50889,High School,Full-time,49,2025-05-13,100,1
544-537-2132x6776,espinozacharles@example.net,695,36-45,Married,37616,Master's,Part-time,63,2025-01-23,91,1
638-443-0979x7568,petersangela@example.org,750,56+,Single,63080,Master's,Full-time,43,2025-01-25,75,1
974.672.9131x12659,dsmith@example.org,629,18-25,Single,15000,Professional,Part-time,28,2025-05-17,23,0
421-578-1704,troyedwards@example.net,686,36-45,Single,23436,High School,Full-time,63,2025-04-23,85,1
685-392-0630,dcooper@example.org,662,36-45,Divorced,88532,PhD,Full-time,36,2025-06-20,100,1
289-210-9531,stevensdonna@example.org,630,26-35,Married with Kids,19783,High School,Retired,60,2025-05-30,73,1
536-922-3801,thompsonmelissa@example.net,665,26-35,Widowed,15000,High School,Part-time,56,2025-06-22,60,1
394-501-4696,djohnson@example.com,693,56+,Married,29676,Bachelor's,Retired,37,2025-02-08,59,0
520.545.0980x6353,anthony62@example.com,635,26-35,Single,15000,High School,Part-time,24,2025-02-06,34,0
204-794-6173,patrickstacey@example.org,624,56+,Divorced,15000,Bachelor's,Unemployed,28,2025-02-20,27,0
+1-320-596-7309x24074,ashley66@example.com,725,46-55,Single,69207,Bachelor's,Full-time,21,2025-02-25,56,0
001-503-563-8574,chapmanmorgan@example.org,728,36-45,Married,22274,High School,Retired,53,2025-05-20,78,1
2843162675,russell31@example.com,737,36-45,Divorced,141069,PhD,Full-time,52,2025-03-25,100,1
8036945584,brianshaw@example.net,626,36-45,Married with Kids,34510,High School,Full-time,37,2025-06-27,94,1
2238201651,camerondaniel@example.com,660,26-35,Divorced,32756,High School,Full-time,41,2025-05-31,94,1
7752192677,richard62@example.net,606,18-25,Married with Kids,48925,Master's,Full-time,42,2025-02-09,53,0
+1-484-239-6568x8720,megan87@example.org,685,36-45,Married with Kids,75957,Master's,Self-employed,95,2025-06-23,100,1
665.634.7641,jenniferpage@example.net,689,46-55,Widowed,18092,Bachelor's,Part-time,63,2025-04-08,39,0
+1-297-245-3145x95508,courtneyhurst@example.com,672,56+,Married,62767,Professional,Full-time,42,2025-05-23,66,1
(547)835-6427x294,johnsonkrista@example.org,606,18-25,Married,16492,Professional,Part-time,17,2025-04-25,32,0
(945)208-1464,marybarnes@example.com,701,56+,Single,69282,Bachelor's,Full-time,20,2025-03-08,47,0
606.302.2525x5313,lfisher@example.net,734,46-55,Married,91217,Bachelor's,Full-time,31,2025-01-19,90,1
001-854-517-5401,wmendez@example.net,608,18-25,Married with Kids,15000,Bachelor's,Self-employed,42,2025-03-03,54,0
(881)373-9339,hodgessusan@example.net,715,56+,Single,23819,Professional,Retired,19,2025-02-12,26,0
001-865-661-2064,ecopeland@example.com,572,18-25,Married,15000,High School,Part-time,51,2025-03-01,35,0
+1-256-325-0845,john99@example.net,701,46-55,Married,34587,Master's,Part-time,38,2025-02-10,74,1
709.392.8610x285,john25@example.net,687,56+,Single,47168,PhD,Retired,74,2025-03-15,45,0
3322865918,jacob39@example.org,700,46-55,Widowed,74751,Master's,Full-time,13,2025-06-16,68,1
230-367-3083x03884,dwalsh@example.com,635,26-35,Divorced,35457,Bachelor's,Full-time,32,2025-04-30,47,0
001-719-910-5071x970,teresa45@example.net,727,56+,Married,73197,Bachelor's,Self-employed,63,2025-03-04,85,1
(791)743-8767x38431,msimpson@example.com,668,36-45,Single,54578,Bachelor's,Full-time,52,2025-05-01,97,1
692.596.2632x732,mavila@example.net,721,46-55,Single,99059,PhD,Full-time,34,2025-06-18,78,1
+1-619-505-6651x413,orozcorandy@example.net,626,26-35,Single,88756,Professional,Full-time,55,2025-06-17,91,1
(798)376-8160,ruizadrian@example.net,726,56+,Married,18254,High School,Full-time,27,2025-03-03,70,1
263.374.3738,tarafox@example.com,729,46-55,Married,47220,Bachelor's,Full-time,52,2025-02-17,88,1
335-371-6826,yangjustin@example.com,606,26-35,Widowed,60571,Master's,Full-time,46,2025-06-29,56,0
(707)634-7873,ramireztamara@example.com,599,36-45,Married with Kids,41095,High School,Self-employed,73,2025-06-05,100,1
(547)931-1688x59266,smithmiranda@example.net,619,26-35,Married,61463,Bachelor's,Full-time,48,2025-06-22,86,1
838-730-1485x781,hsmith@example.org,660,26-35,Single,67172,Bachelor's,Full-time,30,2025-06-23,68,1
418-890-2446x288,mcdonaldjose@example.com,707,46-55,Married with Kids,30491,Bachelor's,Part-time,55,2025-01-20,97,1
+1-373-363-1493,shannonanderson@example.org,701,46-55,Widowed,57186,Bachelor's,Full-time,40,2025-04-30,55,0
580.645.0308,penarichard@example.com,670,26-35,Married with Kids,64256,Master's,Full-time,47,2025-03-29,98,1
001-527-938-6813,pamelamartin@example.com,655,26-35,Married with Kids,40074,Master's,Full-time,65,2025-06-08,100,1
001-281-481-5539x25883,gonzaleztommy@example.com,616,26-35,Divorced,29640,Master's,Retired,33,2025-01-23,54,0
238.441.7876,acollins@example.com,681,46-55,Single,45504,High School,Full-time,45,2025-02-11,64,1
001-948-381-0503x916,amandacaldwell@example.com,702,46-55,Married,125371,Master's,Full-time,69,2025-05-03,100,1
498.959.3082,hillashley@example.org,667,36-45,Married with Kids,53912,Bachelor's,Self-employed,40,2025-04-30,100,1
469.682.3207,rgarcia@example.org,662,46-55,Married,77489,Master's,Full-time,79,2025-03-16,100,1
+1-323-606-7801x94670,allisonanna@example.org,646,36-45,Widowed,15000,Master's,Student,79,2025-02-28,80,1
712.808.3624x874,jasonwest@example.net,630,36-45,Married with Kids,15000,Professional,Unemployed,54,2025-07-08,65,1
(517)832-7760x63951,simmonskendra@example.com,656,36-45,Married with Kids,21301,High School,Part-time,32,2025-01-27,92,1
(698)743-6633x75618,matthewchavez@example.net,622,26-35,Single,34960,High School,Self-employed,49,2025-04-13,68,1
959.629.4583x61883,amber92@example.org,677,36-45,Married,54086,Bachelor's,Full-time,86,2025-05-30,100,1
(404)324-4502x5670,lburnett@example.net,691,46-55,Divorced,52942,PhD,Self-employed,47,2025-03-14,100,1
001-888-516-1037,briannasmith@example.net,703,36-45,Single,46321,Master's,Full-time,28,2025-07-11,70,1
001-804-737-4126x9808,michele08@example.com,703,56+,Married,23689,High School,Full-time,45,2025-06-02,71,1
